      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.2800000         1.7417407        -0.3691651         4.0344768         2.3295713         5.3359945         7.2288535         0.2801310        -0.1510388         0.0351627         0.0576915         0.0351847         0.0475552         0.0725656         0.0377524         0.0000000        -0.0078733        -0.0402555         0.0000000         2.3295713         7.5849401         4.8164140         0.0497645         0.2544419         1.0373593         1.0373593         0.2592628         0.2499257         0.0410182         1.3776514      sliding
         0.2850000         1.7799412        -0.3569953         4.0744792         2.5421684         5.2363726         7.0528614         0.2768419        -0.1492045         0.0369904         0.0581656         0.0366937         0.0477356         0.0723993         0.0397147         0.0000000        -0.0054861        -0.0278525         0.0000000         2.5421684         7.3709218         4.7782803         0.0500751         0.2542269         1.0370893         1.0370893         0.2591116         0.2498450         0.0283877         1.3763157      sliding
         0.2900000         1.8169983        -0.3437026         4.1131338         2.7791992         5.1358923         6.8670504         0.2738201        -0.1469581         0.0387832         0.0585763         0.0382018         0.0479251         0.0721103         0.0416029         0.0000000        -0.0027496        -0.0137648         0.0000000         2.7791992         7.1495389         4.7347509         0.0505916         0.2532689         1.0357081         1.0357081         0.2582724         0.2493680         0.0140367         1.3736370      sliding
         0.2950000         1.8528607        -0.3291921         4.1504083         2.9955701         5.0415928         6.6720591         0.2709046        -0.1451390         0.0398455         0.0589242         0.0397068         0.0481228         0.0717001         0.0434091         0.0000000        -0.0001778        -0.0009837         0.0000000         2.9955701         6.9278125         4.6839561         0.0304204         0.1682709         0.9674977         0.9674977         0.1709985         0.1767430         0.0009996         1.3919459      sliding
         0.3000000         1.8875182        -0.3141598         4.1864294         3.0167799         4.9836684         6.4800558         0.2672631        -0.1466184         0.0380769         0.0592242         0.0412075         0.0483177         0.0712182         0.0451385         0.0000000        -0.0001560        -0.0008546         0.0000000         3.0167799         6.7422003         4.6228572         0.0283615         0.1553632         0.9632833         0.9632833         0.1579307         0.1639504         0.0008687         1.3902351      sliding
         0.3050000         1.9210079        -0.2990238         4.2213153         3.0377193         4.9272633         6.2913792         0.2637035        -0.1481141         0.0362532         0.0594859         0.0427029         0.0485035         0.0706958         0.0467975         0.0000000        -0.0001466        -0.0007740         0.0000000         3.0377193         6.5619753         4.5606859         0.0276978         0.1462868         0.9623700         0.9623700         0.1488859         0.1547075         0.0007878         1.3836723      sliding
         0.3100000         1.9533647        -0.2837811         4.2551109         3.0595881         4.8722010         6.1058718         0.2602278        -0.1496422         0.0343880         0.0597115         0.0441924         0.0486801         0.0701384         0.0483881         0.0000000        -0.0001381        -0.0007010         0.0000000         3.0595881         6.3868985         4.4975038         0.0270110         0.1371075         0.9615577         0.9615577         0.1397428         0.1453296         0.0007144         1.3762809      sliding
         0.3150000         1.9846211        -0.2684255         4.2878593         3.0829544         4.8184506         5.9233644         0.2568339        -0.1512278         0.0324840         0.0599035         0.0456756         0.0488473         0.0695507         0.0499125         0.0000000        -0.0001306        -0.0006337         0.0000000         3.0829544         6.2168572         4.4333281         0.0263373         0.1277881         0.9607791         0.9607791         0.1304739         0.1358001         0.0006470         1.3675407      sliding
         0.3200000         2.0148082        -0.2529482         4.3196019         3.1083503         4.7659742         5.7436643         0.2535194        -0.1528959         0.0305421         0.0600641         0.0471520         0.0490049         0.0689372         0.0513729         0.0000000        -0.0001239        -0.0005714         0.0000000         3.1083503         6.0517212         4.3681644         0.0256775         0.1183911         0.9600374         0.9600374         0.1211437         0.1261864         0.0005847         1.3572169      sliding
         0.3250000         2.0439548        -0.2373377         4.3503785         3.1363072         4.7147315         5.5665596         0.2502815        -0.1546703         0.0285608         0.0601959         0.0486217         0.0491527         0.0683019         0.0527715         0.0000000        -0.0001180        -0.0005124         0.0000000         3.1363072         5.8913511         4.3020066         0.0250543         0.1087501         0.9591812         0.9591812         0.1115988         0.1163480         0.0005258         1.3443634      sliding
         0.3300000         2.0720879        -0.2215800         4.3802270         3.1673141         4.6646783         5.3918224         0.2471175        -0.1565748         0.0265362         0.0603012         0.0500847         0.0492905         0.0676485         0.0541109         0.0000000        -0.0001128        -0.0004564         0.0000000         3.1673141         5.7356012         4.2348379         0.0244508         0.0989510         0.9582330         0.9582330         0.1019272         0.1063699         0.0004702         1.3285493      sliding
